Years,Japan,Philippines
1961,7.785717616,3.115709238
1962,4.19957757,6.727683816
1963,5.510469059,8.909672462
1964,5.328705884,4.581452774
1965,5.136857285,3.889831701
1966,4.970869147,5.367474504
1967,5.495390076,2.12038565
1968,4.918863182,6.392404386
1969,4.433398705,5.911105776
1970,17.39643296,15.30218328
1971,5.091351937,14.51876673
1972,5.604421619,6.576831992
1973,12.70539616,17.10783942
1974,20.81005042,32.89028416
1975,7.177440853,9.479603941
1976,8.007886486,8.382849693
1977,6.74910663,8.366804655
1978,4.60375829,9.35615313
1979,2.75163103,14.94096759
1980,5.437983896,14.23459251
1981,2.857662192,11.76474699
1982,1.759523055,8.643508075
1983,0.920750584,14.24821778
1984,1.429605891,52.95945072
1985,1.260620599,17.06101474
1986,1.61202686,2.891936388
1987,-0.16378568,7.497125854
1988,0.609789283,9.759959119
1989,2.069040246,9.09994145
1990,2.564404139,12.95683835
1991,2.904570987,16.39511964
1992,1.677269591,7.881863811
1993,0.528410642,6.809621987
1994,0.186808629,10.06023051
1995,-0.523458984,7.642303855
1996,-0.445775393,7.688965478
1997,0.504460814,6.259815756
1998,-0.026680247,10.40567036
1999,-1.241051347,6.33463973
2000,-1.33626009,5.816933544
2001,-1.084879848,5.618862281
2002,-1.390978615,4.231091814
2003,-1.607703708,3.192131329
2004,-1.1247664,5.890758534
2005,-1.19401768,5.910893448
2006,-0.862018389,5.111586663
2007,-0.705243547,3.164289755
2008,-0.911530288,7.179216183
2009,-0.569564925,2.738258566
2010,-1.88074195,4.370884364
2011,-1.62208025,3.918805775
2012,-0.756093119,1.994176097
2013,-0.354375054,2.061063359
2014,1.686294786,3.053055301
2015,2.111298993,-0.71968279
2016,0.419944376,1.280311744
2017,-0.074349504,2.320259946
2018,-0.000237506,3.74065383
2019,0.634803166,0.697076297
2020,0.933912187,1.650490187
2021,-0.203835822,2.282478463
2022,0.399048969,5.488648202
2023,4.068198489,4.601433071
2024,2.888053639,2.914192056
